"","Code","Municipality.x","population_tcu.","hot","cold"
"1","110001","ALTA FLORESTA D'OESTE",22516,0,0
"2","110002","ARIQUEMES",111148,0,0
"3","110003","CABIXI",5067,0,0
"4","110004","CACOAL",86416,0,0
"5","110005","CEREJEIRAS",16088,0,0
"6","110006","COLORADO DO OESTE",15213,0,0
"7","110007","CORUMBIARA",7052,0,0
"8","110008","COSTA MARQUES",19255,0,0
"9","110009","ESPIGAO D'OESTE",33009,0,0
"10","110010","GUAJARA-MIRIM",46930,0,0
"11","110011","JARU",51469,0,0
"12","110012","JI-PARANA",131026,0,0
"13","110013","MACHADINHO D'OESTE",41724,0,0
"14","110014","NOVA BRASILANDIA D'OESTE",20504,0,0
"15","110015","OURO PRETO DO OESTE",35445,0,0
"16","110018","PIMENTA BUENO",37098,0,0
"17","110020","PORTO VELHO",548952,0,0
"18","110025","PRESIDENTE MEDICI",18165,0,0
"19","110026","RIO CRESPO",3843,0,1
"20","110028","ROLIM DE MOURA",55748,0,0
"21","110029","SANTA LUZIA D'OESTE",5942,0,0
"22","110030","VILHENA",104517,0,0
"23","110032","SAO MIGUEL DO GUAPORE",23147,0,0
"24","110033","NOVA MAMORE",32184,0,0
"25","110034","ALVORADA D'OESTE",13807,0,0
"26","110037","ALTO ALEGRE DOS PARECIS",13268,0,0
"27","110040","ALTO PARAISO",22258,0,0
"28","110045","BURITIS",41043,0,0
"29","110050","NOVO HORIZONTE DO OESTE",8125,0,0
"30","110060","CACAULANDIA",6307,0,0
"31","110070","CAMPO NOVO DE RONDONIA",14391,0,0
"32","110080","CANDEIAS DO JAMARI",28068,0,0
"33","110090","CASTANHEIRAS",2923,0,0
"34","110092","CHUPINGUAIA",11755,0,0
"35","110094","CUJUBIM",27131,0,1
"36","110100","GOVERNADOR JORGE TEIXEIRA",7130,0,0
"37","110120","MINISTRO ANDREAZZA",9461,0,0
"38","110130","MIRANTE DA SERRA",10691,0,0
"39","110140","MONTE NEGRO",16158,0,0
"40","110143","NOVA UNIAO",6822,0,0
"41","110147","PRIMAVERA DE RONDONIA",2697,0,0
"42","110148","SAO FELIPE D'OESTE",4962,0,0
"43","110149","SAO FRANCISCO DO GUAPORE",21088,0,0
"44","110150","SERINGUEIRAS",11846,0,0
"45","110155","TEIXEIROPOLIS",4160,0,0
"46","110160","THEOBROMA",10348,0,0
"47","110170","URUPA",11081,0,0
"48","110175","VALE DO ANARI",11545,0,0
"49","110180","VALE DO PARAISO",6490,0,0
"50","120001","ACRELANDIA",15721,0,0
"51","120005","ASSIS BRASIL",7649,0,0
"52","120010","BRASILEIA",27123,0,0
"53","120013","BUJARI",10572,0,0
"54","120017","CAPIXABA",12280,0,0
"55","120020","CRUZEIRO DO SUL",89760,0,0
"56","120025","EPITACIOLANDIA",18979,0,0
"57","120030","FEIJO",34986,0,0
"58","120033","MANCIO LIMA",19643,0,0
"59","120034","MANOEL URBANO",9701,0,0
"60","120035","MARECHAL THAUMATURGO",19727,0,0
"61","120038","PLACIDO DE CASTRO",20147,0,0
"62","120039","PORTO WALTER",12497,0,0
"63","120040","RIO BRANCO",419452,0,0
"64","120042","RODRIGUES ALVES",19767,0,0
"65","120043","SANTA ROSA DO PURUS",6893,0,0
"66","120045","SENADOR GUIOMARD",23446,0,0
"67","120050","SENA MADUREIRA",47168,0,0
"68","120060","TARAUACA",43730,0,0
"69","120070","XAPURI",19866,0,0
"70","120080","PORTO ACRE",19141,0,0
"71","130002","ALVARAES",16396,0,0
"72","130006","AMATURA",11934,0,0
"73","130008","ANAMA",14292,0,0
"74","130010","ANORI",21937,0,0
"75","130014","APUI",22739,0,0
"76","130020","ATALAIA DO NORTE",20868,0,0
"77","130030","AUTAZES",41005,0,0
"78","130040","BARCELOS",27772,0,0
"79","130050","BARREIRINHA",32919,0,0
"80","130060","BENJAMIN CONSTANT",44873,0,0
"81","130063","BERURI",20503,0,0
"82","130068","BOA VISTA DO RAMOS",20040,0,0
"83","130070","BOCA DO ACRE",34958,0,0
"84","130080","BORBA",42328,0,0
"85","130083","CAAPIRANGA",13482,0,0
"86","130090","CANUTAMA",15981,0,0
"87","130100","CARAUARI",28719,0,0
"88","130110","CAREIRO",38820,0,0
"89","130115","CAREIRO DA VARZEA",31459,0,0
"90","130120","COARI",86713,0,0
"91","130130","CODAJAS",29691,0,0
"92","130140","EIRUNEPE",36121,0,0
"93","130150","ENVIRA",20748,0,0
"94","130160","FONTE BOA",16409,0,0
"95","130165","GUAJARA",17193,0,0
"96","130170","HUMAITA",57195,0,0
"97","130180","IPIXUNA",31172,0,0
"98","130185","IRANDUBA",49718,0,0
"99","130190","ITACOATIARA",104046,0,0
"100","130195","ITAMARATI",7777,0,0
"101","130200","ITAPIRANGA",9312,0,0
"102","130210","JAPURA",1755,0,0
