"","code_muni","abbrev_state"
"1",1200203,"AC"
"2",1200401,"AC"
"3",1200104,"AC"
"4",1100205,"RO"
"5",1200252,"AC"
"6",1200302,"AC"
"7",1200500,"AC"
"8",1200344,"AC"
"9",2800308,"SE"
"10",1200385,"AC"
"11",1200013,"AC"
"12",1200450,"AC"
"13",1200138,"AC"
"14",1200609,"AC"
"15",5103403,"MT"
"16",1200351,"AC"
"17",5208707,"GO"
"18",1200708,"AC"
"19",1200336,"AC"
"20",2704302,"AL"
"21",2706505,"AL"
"22",2707404,"AL"
"23",2703106,"AL"
"24",2705101,"AL"
"25",2700300,"AL"
"26",2708006,"AL"
"27",2707503,"AL"
"28",2708956,"AL"
"29",2704005,"AL"
"30",2709301,"AL"
"31",2705804,"AL"
"32",3550308,"SP"
"33",2702355,"AL"
"34",2700904,"AL"
"35",2702405,"AL"
"36",2702603,"AL"
"37",2709152,"AL"
"38",2707107,"AL"
"39",2707701,"AL"
"40",2704708,"AL"
"41",2705200,"AL"
"42",2708501,"AL"
"43",2701605,"AL"
"44",2709103,"AL"
"45",2702306,"AL"
"46",2700805,"AL"
"47",2703304,"AL"
"48",2707206,"AL"
"49",2700102,"AL"
"50",2704807,"AL"
"51",2702504,"AL"
"52",2703759,"AL"
"53",2704104,"AL"
"54",2704203,"AL"
"55",2702801,"AL"
"56",2709004,"AL"
"57",2703601,"AL"
"58",2705507,"AL"
"59",2703502,"AL"
"60",2703205,"AL"
"61",2706802,"AL"
"62",2702108,"AL"
"63",2706703,"AL"
"64",2706109,"AL"
"65",2706307,"AL"
"66",2701704,"AL"
"67",2701001,"AL"
"68",2611606,"PE"
"69",2701506,"AL"
"70",2702553,"AL"
"71",2708600,"AL"
"72",2211001,"PI"
"73",2910800,"BA"
"74",2705705,"AL"
"75",2704500,"AL"
"76",2708105,"AL"
"77",2700706,"AL"
"78",2708808,"AL"
"79",2708402,"AL"
"80",2700409,"AL"
"81",2701209,"AL"
"82",2709400,"AL"
"83",2706604,"AL"
"84",2708907,"AL"
"85",2709202,"AL"
"86",2706406,"AL"
"87",2700201,"AL"
"88",2706208,"AL"
"89",2702207,"AL"
"90",2708709,"AL"
"91",2703809,"AL"
"92",2706000,"AL"
"93",2704609,"AL"
"94",2703007,"AL"
"95",2702900,"AL"
"96",2702702,"AL"
"97",2701308,"AL"
"98",3525904,"SP"
"99",5219308,"GO"
"100",2707305,"AL"
"101",2702009,"AL"
"102",2706422,"AL"
"103",2705408,"AL"
"104",2701803,"AL"
"105",2703700,"AL"
"106",2706901,"AL"
"107",5008305,"MS"
"108",2700508,"AL"
"109",2705606,"AL"
"110",2705903,"AL"
"111",2708303,"AL"
"112",2708204,"AL"
"113",2805703,"SE"
"114",2705002,"AL"
"115",2704401,"AL"
"116",2701100,"AL"
"117",2703403,"AL"
"118",2701357,"AL"
"119",2604106,"PE"
"120",1302603,"AM"
"121",1301852,"AM"
"122",1304203,"AM"
"123",1303304,"AM"
"124",1301209,"AM"
"125",1506807,"PA"
"126",1302702,"AM"
"127",1300409,"AM"
"128",1300706,"AM"
"129",1302900,"AM"
"130",1301704,"AM"
"131",1303403,"AM"
"132",1303700,"AM"
"133",1304062,"AM"
"134",1301902,"AM"
"135",1301001,"AM"
"136",1300060,"AM"
"137",1300508,"AM"
"138",1302306,"AM"
"139",1303809,"AM"
"140",1303502,"AM"
"141",1303205,"AM"
"142",1302207,"AM"
"143",1300805,"AM"
"144",1300680,"AM"
"145",1304401,"AM"
"146",1302405,"AM"
"147",1300300,"AM"
"148",1300631,"AM"
"149",1302009,"AM"
"150",1302504,"AM"
"151",1304104,"AM"
"152",1301605,"AM"
"153",1301407,"AM"
"154",1303007,"AM"
"155",1300201,"AM"
"156",1304260,"AM"
"157",1303601,"AM"
"158",1301100,"AM"
"159",1301308,"AM"
"160",1303106,"AM"
"161",1300607,"AM"
"162",1302553,"AM"
"163",3506003,"SP"
"164",1301506,"AM"
"165",1300144,"AM"
"166",1303908,"AM"
"167",1304005,"AM"
"168",1300904,"AM"
"169",1300102,"AM"
"170",1300086,"AM"
"171",1301159,"AM"
"172",1303569,"AM"
"173",1304302,"AM"
"174",1301951,"AM"
"175",1302801,"AM"
"176",1301654,"AM"
"177",1302108,"AM"
"178",1301803,"AM"
"179",1300839,"AM"
"180",1304237,"AM"
"181",1600303,"AP"
"182",1600279,"AP"
"183",1600600,"AP"
"184",1500305,"PA"
"185",1600535,"AP"
"186",1600238,"AP"
"187",1600808,"AP"
"188",1600055,"AP"
"189",1600501,"AP"
"190",2902906,"BA"
"191",2914802,"BA"
"192",2922102,"BA"
"193",2927408,"BA"
"194",2913903,"BA"
"195",2902807,"BA"
"196",2930501,"BA"
"197",2933307,"BA"
"198",2930105,"BA"
"199",2925758,"BA"
"200",2918407,"BA"
"201",2903201,"BA"
"202",2911808,"BA"
"203",2904605,"BA"
"204",2929107,"BA"
"205",2919900,"BA"
"206",2925105,"BA"
"207",2923704,"BA"
"208",2906006,"BA"
"209",2905107,"BA"
"210",2900702,"BA"
"211",2929909,"BA"
"212",2916609,"BA"
"213",2909802,"BA"
"214",2902500,"BA"
"215",2910727,"BA"
"216",2928802,"BA"
"217",2916401,"BA"
"218",2902005,"BA"
"219",2929008,"BA"
"220",2905701,"BA"
"221",2907608,"BA"
"222",2906204,"BA"
"223",2928703,"BA"
"224",2908507,"BA"
"225",2911709,"BA"
"226",2914703,"BA"
"227",2917300,"BA"
"228",2908903,"BA"
"229",2929206,"BA"
"230",2931806,"BA"
"231",2914604,"BA"
"232",2931350,"BA"
"233",2921203,"BA"
"234",2611101,"PE"
"235",2914653,"BA"
"236",2901601,"BA"
"237",2905305,"BA"
"238",2928109,"BA"
"239",2918001,"BA"
"240",2911105,"BA"
"241",2917706,"BA"
"242",2919553,"BA"
"243",2900108,"BA"
"244",2931905,"BA"
"245",2918506,"BA"
"246",2919504,"BA"
"247",2913101,"BA"
"248",2919058,"BA"
"249",2903102,"BA"
"250",2913606,"BA"
"251",2925006,"BA"
"252",2914901,"BA"
"253",2919207,"BA"
"254",3143302,"MG"
"255",2917607,"BA"
"256",2922508,"BA"
"257",2903409,"BA"
"258",2915502,"BA"
"259",2907301,"BA"
"260",2914505,"BA"
"261",2931004,"BA"
"262",2930758,"BA"
"263",2925907,"BA"
"264",2921104,"BA"
"265",2904506,"BA"
"266",2926004,"BA"
"267",2930774,"BA"
"268",2921500,"BA"
"269",2916104,"BA"
"270",2902104,"BA"
"271",2928901,"BA"
"272",2900207,"BA"
"273",2911204,"BA"
"274",2932457,"BA"
"275",2915601,"BA"
"276",2904308,"BA"
"277",2909505,"BA"
"278",2903706,"BA"
"279",2910008,"BA"
"280",2901007,"BA"
"281",2925600,"BA"
"282",2925303,"BA"
"283",2910404,"BA"
"284",2930709,"BA"
"285",2915908,"BA"
"286",2901908,"BA"
"287",2933208,"BA"
"288",2907509,"BA"
"289",2930154,"BA"
"290",2917508,"BA"
"291",2918209,"BA"
"292",2924801,"BA"
"293",2911907,"BA"
"294",2920304,"BA"
"295",2908804,"BA"
"296",2912905,"BA"
"297",2925253,"BA"
"298",2906501,"BA"
"299",2906709,"BA"
"300",2902708,"BA"
"301",2930204,"BA"
"302",2933505,"BA"
"303",2932002,"BA"
"304",2923803,"BA"
"305",2915106,"BA"
"306",2914208,"BA"
"307",2926608,"BA"
"308",2915700,"BA"
"309",2911253,"BA"
"310",2901106,"BA"
"311",2910701,"BA"
"312",2905602,"BA"
"313",2923902,"BA"
"314",2903805,"BA"
"315",2924009,"BA"
"316",2927101,"BA"
"317",2913507,"BA"
"318",2930907,"BA"
"319",2917334,"BA"
"320",2931707,"BA"
"321",2901205,"BA"
"322",2922003,"BA"
"323",2921708,"BA"
"324",2920502,"BA"
"325",2915353,"BA"
"326",2919959,"BA"
"327",2901304,"BA"
"328",2911659,"BA"
"329",2918605,"BA"
"330",2913804,"BA"
"331",2925808,"BA"
"332",2931400,"BA"
"333",2901403,"BA"
"334",2926202,"BA"
"335",2922656,"BA"
"336",2933059,"BA"
"337",2928604,"BA"
"338",2904001,"BA"
"339",2932309,"BA"
"340",2920700,"BA"
"341",2910503,"BA"
"342",2912103,"BA"
"343",2908408,"BA"
"344",2909901,"BA"
"345",2921450,"BA"
"346",2924678,"BA"
"347",2928406,"BA"
"348",2925204,"BA"
"349",2933174,"BA"
"350",2927002,"BA"
"351",2919157,"BA"
"352",2903904,"BA"
"353",2904209,"BA"
"354",2911857,"BA"
"355",2910750,"BA"
"356",2903508,"BA"
"357",2907103,"BA"
"358",2906907,"BA"
"359",2911501,"BA"
"360",2925709,"BA"
